"Project","GAINS4_EventID","AnimalID","TaxaGroup","AnimalClass","SpeciesScientificName","SpeciesEnglishName","Sex","SampleDate","AgeClass"
"P2",2881,"XXAB0209","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0210","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0211","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0212","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0213","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0214","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0215","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0216","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0217","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0218","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0219","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0220","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0221","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0222","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0223","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0224","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0225","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0226","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0227","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0228","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0229","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0230","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0231","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0232","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0233","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0234","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0235","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
"P2",2881,"XXAB0236","bats","free-ranging wild animal","Eidolon helvum","Straw-coloured fruit bat","unknown","4/27/2017","unknown"
